Timestamp,Open,High,Low,Close,Volume
1646092800000,43221.71,43626.49,43185.48,43312.27,52.05632
1646089200000,43085.3,43364.81,42892.37,43178.98,106.81610268
1646085600000,41657.23,44256.08,41650.29,42907.32,527.54057125
1646082000000,41917.09,41917.09,41542.6,41659.53,69.75167997
1646078400000,41361.99,41971.0,41284.11,41914.97,247.15165437
1646074800000,41228.49,41406.03,41036.37,41362.52,114.26897018
1646071200000,41432.91,41476.2,41032.06,41233.87,71.23338214
1646067600000,41031.78,41432.91,40524.73,41432.91,192.78948041
1646064000000,40860.33,41341.18,40710.0,41008.37,291.62318119
1646060400000,39830.5,40912.56,39634.59,40846.38,365.05597171
1646056800000,38021.83,39913.48,38021.83,39840.1,292.8560901
1646053200000,38258.03,38365.84,37914.32,38056.2,120.01581245
1646049600000,38365.56,38669.43,38197.52,38271.13,110.74924657
1646046000000,38407.79,38505.31,38146.67,38367.53,78.15212922
1646042400000,38114.28,38474.51,38104.13,38404.2,80.17187141
1646038800000,38345.77,38592.84,38114.65,38125.95,112.33133209
1646035200000,38375.17,38688.88,38195.78,38333.17,84.64347557
1646031600000,37992.68,38488.88,37904.46,38378.13,63.49987081
1646028000000,37847.72,38123.4,37501.0,37992.68,45.85984605
1646024400000,37828.28,38032.72,37775.02,37847.72,17.04023521
1646020800000,37798.22,38060.85,37757.66,37834.38,24.02349321
1646017200000,37758.97,37907.74,37680.52,37814.44,10.75317702
1646013600000,38016.74,38126.32,37592.9,37769.4,46.26856875
1646010000000,37593.28,38378.0,37593.28,37992.53,69.55094102
1646006400000,37717.1,37827.04,37468.99,37571.16,18.47098706
1646002800000,37812.91,37824.48,37380.17,37712.68,41.97147903
1645999200000,37408.05,37934.27,37349.35,37832.76,298.52166601
1645995600000,37994.1,38072.57,37015.74,37410.01,194.11884662
1645992000000,37588.0,38303.39,37372.59,37979.83,268.31533936
1645988400000,38896.58,38982.43,37538.96,37644.68,187.27258042
1645984800000,38986.58,39159.23,38808.92,38923.63,41.2804258
1645981200000,39104.13,39161.56,38952.22,39002.44,19.91679888
1645977600000,39377.9,39474.0,38974.68,39124.56,26.87382651
1645974000000,38833.67,39444.91,38758.92,39377.9,41.21555409
1645970400000,39100.84,39204.81,38695.24,38779.41,48.72177752
1645966800000,39777.44,39825.36,38614.13,39099.04,131.3803396
1645963200000,39542.34,39886.92,39398.87,39759.92,62.81985166
1645959600000,39400.79,39547.24,39260.71,39520.81,40.40360819
1645956000000,39121.67,39468.77,39018.25,39409.65,53.46553373
1645952400000,38845.77,39131.14,38797.15,39122.01,37.79784086
1645948800000,38841.57,38907.25,38659.86,38861.01,10.92947439
1645945200000,38814.81,38901.1,38789.91,38837.37,4.59597757
1645941600000,38648.04,38888.88,38646.67,38814.82,27.11931654
1645938000000,38579.76,38772.01,38482.91,38620.12,14.83129793
1645934400000,38637.15,38694.83,38500.56,38593.13,10.27162952
1645930800000,38568.58,38714.84,38557.26,38637.49,18.1144665
1645927200000,38246.62,38593.29,38218.11,38572.65,15.47368734
1645923600000,38813.1,38880.04,38233.95,38233.95,60.56183915
1645920000000,39146.66,39285.02,38741.67,38836.1,45.84388585
1645916400000,39159.91,39183.18,38938.99,39146.66,38.99396999
1645912800000,39483.63,39495.45,39090.94,39182.98,26.92600911
1645909200000,39350.19,39681.18,39316.86,39466.34,104.19757217
1645905600000,39269.54,39466.84,39250.0,39352.48,7.63699169
1645902000000,39149.58,39444.91,39149.58,39291.0,27.01451635
1645898400000,39286.02,39293.92,38854.55,39136.15,66.56440318
1645894800000,39167.58,39334.97,39115.49,39263.74,19.39545545
1645891200000,39235.05,39350.41,39094.97,39198.39,6.45366518
1645887600000,39243.9,39373.83,39188.8,39274.16,35.37591264
1645884000000,39118.52,39380.32,38974.68,39249.31,43.99194614
1645880400000,39031.09,39256.14,38926.29,39118.52,20.92867076
1645876800000,38970.73,39065.36,38807.49,39035.0,10.50898556
1645873200000,39021.0,39201.58,38830.9,38972.16,35.86850169
1645869600000,38798.06,39109.76,38798.06,39034.1,21.26312506
1645866000000,38766.97,38946.63,38600.0,38822.9,22.87484487
1645862400000,39219.53,39559.22,38695.24,38792.49,57.29722173
1645858800000,39178.0,39240.47,38979.77,39227.4,30.42935501
1645855200000,39040.81,39247.96,39027.33,39163.28,29.52211517
1645851600000,39385.74,39411.15,38974.68,39054.26,45.84066958
1645848000000,39423.55,39488.93,39274.31,39376.99,20.25732045
1645844400000,39597.57,39634.65,39301.0,39428.69,27.41243881
1645840800000,39753.68,39755.9,39492.25,39597.57,27.67270745
1645837200000,39774.69,39844.04,39601.0,39759.9,34.66073579
1645833600000,39242.64,40330.99,39099.51,39777.78,151.63695307
1645830000000,39434.79,39680.89,39160.76,39231.64,132.11147061
1645826400000,38987.36,39515.68,38900.55,39465.45,55.78181892
1645822800000,39128.57,39237.22,38954.51,39021.29,21.03178576
1645819200000,38678.53,39254.81,38645.9,39134.42,127.4313397
1645815600000,38685.59,38984.99,38556.28,38703.22,39.35746922
1645812000000,39025.65,39054.76,38556.27,38685.67,59.08194787
1645808400000,39390.28,39405.97,38881.31,38992.4,217.14528551
1645804800000,39442.92,39603.77,39214.6,39385.41,278.32131825
1645801200000,39038.52,39601.0,38730.34,39481.66,163.9741307
1645797600000,39404.56,39499.95,38930.12,39008.66,202.67981389
1645794000000,39367.63,39727.97,39268.39,39371.94,163.13332743
1645790400000,38781.89,39538.59,38767.31,39340.33,114.14765689
1645786800000,38597.74,38881.31,38371.75,38771.98,44.73380784
1645783200000,38704.34,38796.99,38512.78,38595.24,39.50023652
1645779600000,38371.75,38769.04,38027.61,38676.56,86.57521686
1645776000000,38488.58,38549.87,38188.12,38390.22,54.51526264
1645772400000,38706.89,38834.65,38398.98,38519.32,65.42931042
1645768800000,38473.84,38781.07,38411.39,38733.17,23.0444734
1645765200000,38740.71,38796.39,38331.16,38473.84,46.75492129
1645761600000,38927.42,38950.43,38676.36,38751.9,27.98132202
1645758000000,38824.9,39019.83,38531.45,38945.92,63.65220475
1645754400000,38569.97,38871.8,38500.99,38837.2,60.69037184
1645750800000,38260.5,38942.59,38176.97,38593.94,58.14710414
1645747200000,38360.93,38773.21,38242.11,38254.83,57.63023084
1645743600000,37875.79,38387.77,37875.79,38376.88,194.21769742
1645740000000,38404.46,38491.81,37771.34,37866.33,83.507519
1645736400000,38438.67,38667.86,38189.36,38410.46,185.34638436
1645732800000,37350.42,39720.0,37322.65,38417.05,570.59205558
1645729200000,36456.62,37388.88,36268.71,37328.59,259.68955597
1645725600000,35858.35,36817.98,35833.07,36435.58,178.14766002
1645722000000,36205.15,36205.15,35770.8,35882.97,67.22921033
1645718400000,35925.32,36350.39,35879.35,36201.86,151.82109984
1645714800000,35658.54,36167.64,35438.89,35964.57,184.24351933
1645711200000,35502.55,35914.56,35207.28,35686.84,170.96061188
1645707600000,35268.67,35700.0,35129.16,35487.59,100.1165409
1645704000000,35460.62,35460.62,35071.03,35262.33,89.45768732
1645700400000,35210.75,35591.41,34900.0,35441.97,126.9487226
1645696800000,35356.24,35498.11,34823.07,35191.08,169.91867573
1645693200000,35519.66,35810.07,35298.34,35351.18,109.71818398
1645689600000,35311.31,35888.88,35193.9,35553.01,277.62303112
1645686000000,34900.38,35536.74,34376.81,35313.4,486.70062781
1645682400000,34664.39,35090.39,34604.2,34900.0,168.18331039
1645678800000,35096.43,35127.04,34324.05,34654.29,438.64564747
1645675200000,34966.87,35220.46,34502.31,35103.59,1276.44978986
1645671600000,35950.36,35981.14,34724.93,34945.2,719.5510074
1645668000000,36986.61,37044.46,35879.35,35949.86,174.25156385
1645664400000,36823.58,37074.2,36650.0,36979.84,51.47077404
1645660800000,37253.26,37444.13,36737.74,36753.43,68.06008039
1645657200000,37663.2,37732.87,37060.16,37274.18,65.93946606
1645653600000,37528.57,37680.35,37149.2,37680.35,67.51399246
1645650000000,37690.87,37821.15,37437.02,37572.52,29.26867397
1645646400000,37631.18,37740.01,37401.0,37688.34,80.41985399
1645642800000,37787.37,37897.6,37538.84,37636.45,156.8732526
1645639200000,38107.63,38124.75,37732.87,37790.51,183.48024032
1645635600000,38675.65,38794.0,38049.77,38102.71,111.70834645
1645632000000,38539.7,38732.71,38371.75,38667.39,75.38827272
1645628400000,38677.89,38687.55,38463.9,38535.68,109.52624801
1645624800000,38983.76,39032.35,38648.86,38677.89,144.17023605
1645621200000,39037.18,39303.24,38927.97,39007.9,87.03607743
1645617600000,38821.3,39132.86,38781.13,39056.36,32.52257023
1645614000000,38877.69,39162.1,38775.2,38811.2,69.58371122
1645610400000,38931.22,38969.34,38798.91,38898.72,38.22937738
1645606800000,38719.46,39021.45,38630.96,38899.29,93.52030775
1645603200000,38174.24,38833.94,38109.16,38719.61,142.38141717
1645599600000,37995.58,38245.84,37995.58,38189.12,44.62109724
1645596000000,38011.22,38185.25,37954.89,38026.79,23.70256949
1645592400000,38049.36,38145.45,37851.48,38032.76,32.54290306
1645588800000,37763.79,38113.14,37749.08,38062.3,35.84441485
1645585200000,37669.0,37811.77,37615.63,37786.4,12.0051222
1645581600000,38071.84,38232.29,37552.3,37706.57,71.65668676
1645578000000,38167.26,38184.93,37959.81,38097.41,24.1313065
1645574400000,38269.94,38381.0,38082.09,38159.89,46.20911442
1645570800000,37933.4,38463.88,37901.65,38269.94,55.76295826
1645567200000,37905.96,38006.06,37782.46,37922.16,39.57902914
1645563600000,37935.73,38070.43,37843.32,37907.16,27.14903037
1645560000000,38127.16,38305.23,37807.18,37932.03,88.15364616
1645556400000,37733.92,38183.1,37626.0,38085.19,111.43674728
1645552800000,37683.95,38022.79,37556.54,37741.64,92.76421931
1645549200000,37719.49,37866.19,37400.0,37665.43,73.55129083
1645545600000,37782.7,37905.88,37501.0,37727.5,130.04538692
1645542000000,38168.33,38250.0,37702.93,37760.8,158.53744422
1645538400000,37839.84,38339.48,37462.33,38179.33,254.57873219
1645534800000,37669.4,37975.57,37341.59,37875.81,50.97276605
1645531200000,37524.0,37788.95,37301.0,37665.4,45.62042103
1645527600000,37719.07,37796.93,37430.6,37552.95,47.72768305
1645524000000,37164.67,37883.78,37092.74,37760.32,110.48142101
1645520400000,37144.44,37333.39,37049.42,37161.31,66.25606614
1645516800000,36788.87,37193.73,36764.52,37141.79,68.172144
1645513200000,36862.74,37003.25,36543.21,36790.54,87.8523982
1645509600000,36744.37,37008.93,36612.58,36868.13,164.78011398
1645506000000,36646.81,37265.06,36565.66,36756.47,95.09496742
1645502400000,36612.29,36818.54,36576.05,36642.7,91.4525313
1645498800000,37021.01,37021.01,36368.99,36601.97,281.6610231
1645495200000,37238.37,37255.66,36923.32,37041.99,131.59539173
1645491600000,37258.22,37462.33,36896.24,37270.54,71.77056793
1645488000000,37036.98,37346.62,36859.94,37224.02,43.76305553
1645484400000,37546.24,37696.63,36861.79,37076.6,203.66408076
1645480800000,37057.91,37778.15,36810.72,37578.07,225.76993714
1645477200000,38251.94,38394.79,36927.06,37067.6,177.03768208
1645473600000,38166.06,38463.9,37967.28,38260.63,52.76910466
1645470000000,37761.56,38326.43,37597.36,38154.35,131.43468294
1645466400000,38574.07,38668.03,37562.59,37810.55,270.76024717
1645462800000,38739.47,38855.73,38470.13,38543.1,51.03499891
1645459200000,38850.57,39168.73,38695.24,38703.55,392.73101332
1645455600000,38697.16,39304.14,38658.36,38853.47,333.00212681
1645452000000,37580.37,38881.31,37500.0,38723.49,246.3155655
1645448400000,37573.54,37726.84,37200.02,37607.94,99.86100893
1645444800000,37590.05,37819.1,37423.16,37565.55,262.77628361
1645441200000,38296.61,38452.53,37375.6,37606.76,311.8059291
1645437600000,38939.21,38998.52,38250.76,38289.75,112.71084915
1645434000000,39080.89,39106.27,38897.74,38923.29,49.2446264
1645430400000,39312.15,39395.59,38992.16,39070.76,100.74213836
1645426800000,39238.06,39368.64,39093.61,39335.98,40.42918866
1645423200000,39242.71,39290.0,39180.0,39236.56,23.85161012
1645419600000,39329.24,39494.11,39240.1,39255.96,37.72466383
